[2026-02-20 11:25:41,579][findlibs][DEBUG] - loading libifport.so.5 at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,580][findlibs][DEBUG] - loaded libifport.so.5
[2026-02-20 11:25:41,581][findlibs][DEBUG] - considering libimf.so
[2026-02-20 11:25:41,581][findlibs][DEBUG] - loading libimf.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,582][findlibs][DEBUG] - loaded libimf.so
[2026-02-20 11:25:41,582][findlibs][DEBUG] - considering libintlc.so.5
[2026-02-20 11:25:41,582][findlibs][DEBUG] - loading libintlc.so.5 at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,583][findlibs][DEBUG] - loaded libintlc.so.5
[2026-02-20 11:25:41,583][findlibs][DEBUG] - considering libirc.so
[2026-02-20 11:25:41,583][findlibs][DEBUG] - loading libirc.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,584][findlibs][DEBUG] - loaded libirc.so
[2026-02-20 11:25:41,585][findlibs][DEBUG] - considering libsvml.so
[2026-02-20 11:25:41,585][findlibs][DEBUG] - loading libsvml.so at /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/fckitlib/lib64
[2026-02-20 11:25:41,586][findlibs][DEBUG] - loaded libsvml.so
[2026-02-20 11:25:41,586][findlibs][DEBUG] - found libeccodes.so/eccodeslib in <function _find_in_package at 0x7f9133a037e0>
[2026-02-20 11:25:41,587][gribapi.bindings][DEBUG] - eccodes lib search: findlibs returned /home/x_piero/equivariant-posteriors/.venv/lib64/python3.11/site-packages/eccodeslib/lib64/libeccodes.so
